"SID","day","real_order","beepvar","A_rude","E_quiet","C_lazy","N_relaxed","N_depressed","E_outgoing","A_kind","C_reliable","N_worried"
"10544",10,38,3,2,2,2,4,2,4,4,4,2
"10517",15,58,3,1,5,2,3,3,1,4,5,1
"10536",3,10,3,2,3,1,3,1,4,4,4,1
"10526",2,6,3,1,4,5,5,2,2,3,3,1
"10509",10,38,3,NA,5,3,2,2,1,NA,3,4
"10528",13,50,2,1,5,2,3,1,3,4,3,1
"10515",11,42,2,3,2,2,1,2,3,3,5,5
"10544",9,34,2,2,3,3,2,2,2,3,4,2
"10516",15,58,2,NA,5,1,3,1,1,NA,4,1
"10536",2,6,2,1,5,2,4,1,1,4,4,3
"10517",14,54,2,1,3,3,3,1,3,4,5,2
"10541",2,6,2,1,2,4,5,1,2,4,5,3
"10537",9,34,2,1,3,2,4,1,2,4,4,1
"10526",1,2,2,1,4,4,4,2,4,4,4,1
"10485",14,54,2,2,3,2,3,1,4,4,2,2
"10533",2,6,2,1,3,2,4,1,4,4,4,1
"10509",9,34,2,1,5,3,3,2,1,2,5,4
"10538",2,6,2,1,2,1,4,1,5,4,5,2
"10513",15,58,2,1,3,1,4,1,5,4,5,2
"10530",12,46,2,2,3,2,2,2,2,3,4,4
"10535",11,42,2,NA,2,3,4,2,2,NA,3,2
"10497",15,58,1,1,1,3,2,3,5,3,5,3
"10530",11,42,1,1,3,1,2,1,2,2,4,2
"10523",12,46,1,1,4,1,4,1,3,4,5,1
"10537",8,30,1,1,1,3,5,1,4,4,4,1
"10535",10,38,1,2,1,2,3,1,4,3,3,1
"10515",10,38,1,1,5,1,3,1,1,1,5,1
"10517",13,50,1,3,2,2,4,1,5,4,5,1
"10542",11,42,1,2,4,2,2,3,3,3,3,3
"10528",12,46,1,3,5,3,2,3,1,3,3,1
"10509",8,30,1,1,2,3,5,2,4,3,4,3
"10473",15,58,1,3,5,1,1,4,1,3,4,3
"10485",13,50,1,4,2,2,4,1,4,4,5,3
"10509",7,26,7,1,2,4,4,1,3,4,4,2
"10535",9,34,7,2,4,4,4,1,1,3,3,3
"10473",14,70,7,NA,NA,1,4,2,1,NA,5,2
"10515",9,34,7,1,3,3,5,1,3,5,5,1
"10512",11,42,7,1,2,5,2,4,2,4,3,5
"10498",10,38,7,NA,4,3,2,3,1,NA,3,4
"10528",11,42,7,NA,5,1,2,1,1,NA,4,3
"10517",12,46,7,NA,5,5,4,2,1,NA,4,1
"10530",10,38,7,1,5,5,5,3,1,1,3,1
"10518",10,38,7,2,4,4,3,1,2,NA,4,3
"10535",8,30,6,1,2,1,3,1,4,3,4,2
"10528",10,38,6,1,5,3,5,1,2,3,4,1
"10530",9,34,6,2,2,2,4,3,5,3,4,2
"10517",11,42,6,3,4,4,5,3,3,3,4,1
"10532",9,34,6,NA,3,4,4,2,2,NA,2,1
"10537",6,22,6,1,2,1,3,1,4,4,4,1
"10497",13,50,6,NA,5,1,2,3,1,NA,4,4
"10498",9,34,6,1,2,2,4,2,3,5,5,3
"10473",12,46,5,1,2,2,4,1,4,4,3,1
"10515",7,26,5,1,5,3,4,1,1,1,5,1
"10535",7,26,5,1,3,4,3,3,3,2,3,3
"10542",8,30,5,2,1,2,3,3,2,3,3,2
"10497",12,46,5,NA,5,5,4,3,1,NA,3,4
"10513",11,42,5,2,2,2,4,3,4,4,5,2
"10517",10,38,5,4,3,4,4,1,2,3,3,1
"10518",8,30,5,1,3,1,3,2,3,5,5,2
"10530",8,30,5,3,3,2,4,2,2,NA,4,1
"10494",15,58,5,1,1,1,3,1,5,5,5,2
"10485",10,38,5,2,2,2,3,1,4,4,4,2
"10509",5,18,5,1,3,3,5,1,3,3,5,2
"10497",11,42,4,2,3,4,3,1,4,3,4,2
"10484",14,54,4,NA,5,5,4,1,1,NA,4,3
"10523",8,30,4,1,2,1,3,1,5,5,5,3
"10498",7,26,4,2,2,4,3,2,3,4,4,3
"10515",6,22,4,1,4,3,3,1,2,4,5,1
"10494",14,54,4,NA,3,1,5,1,3,NA,3,3
"10540",7,26,4,1,5,1,2,2,3,3,5,3
"10466",15,58,4,NA,4,4,4,1,1,NA,3,4
"10517",9,34,4,1,3,5,5,2,4,5,3,1
"10485",9,34,4,2,4,3,3,NA,3,4,3,3
"10513",10,38,4,2,1,2,5,2,5,5,4,1
"10530",7,26,4,1,2,2,5,1,4,4,4,2
"10535",6,22,4,NA,4,3,5,1,1,NA,3,1
"10510",15,58,4,1,3,2,4,1,3,3,3,3
"10516",9,34,3,1,5,1,3,1,1,3,5,1
"10473",10,38,3,NA,5,1,3,2,1,NA,4,2
"10510",14,54,3,2,1,3,4,2,3,4,4,3
"10532",6,22,3,1,3,2,4,1,4,4,4,1
"10543",3,10,3,1,4,2,2,1,2,4,4,4
"10494",13,50,3,NA,5,1,5,1,1,NA,5,4
"10509",3,10,3,1,4,5,5,1,3,4,5,1
"10540",6,22,3,1,2,4,3,1,5,4,5,3
"10517",8,30,3,1,4,5,5,2,1,4,3,1
"10513",9,34,3,2,3,1,4,2,3,4,5,2
"10530",6,22,3,4,4,3,2,4,3,2,4,3
"10528",7,26,3,1,2,3,3,1,3,3,3,1
"10523",7,26,3,1,2,3,5,1,5,5,5,1
"10498",6,22,3,NA,4,5,3,3,1,NA,3,3
"10512",7,26,3,2,2,4,4,3,3,4,3,1
"10515",5,18,3,NA,5,5,5,1,2,NA,3,2
"10466",14,54,3,1,3,3,3,1,3,1,3,3
"10485",8,30,3,1,2,1,3,1,4,4,5,3
"10472",15,58,3,3,5,1,5,1,1,1,5,3
"10497",8,30,1,3,3,1,1,2,3,4,3,5
"10486",13,50,1,NA,5,5,3,3,1,NA,3,1
"10523",5,18,1,1,4,1,5,1,3,4,5,1
"10532",4,14,1,2,3,3,4,1,2,5,4,2
"10530",4,14,1,1,3,1,3,1,3,3,2,2
"10510",12,46,1,1,2,1,2,1,3,2,4,2
"10477",10,38,1,2,3,3,4,2,2,3,3,2
"10466",12,46,1,NA,4,3,2,1,1,NA,5,2
"10498",4,14,1,1,4,2,4,2,2,3,4,2
"10517",6,22,1,2,3,2,3,2,4,3,4,1
"10513",7,26,1,1,3,1,2,3,4,5,3,4
"10473",8,30,1,3,5,3,2,4,1,3,3,3
"10472",13,50,1,NA,5,1,3,1,1,NA,5,2
"10506",11,42,1,1,4,5,4,1,3,3,3,1
"10516",7,26,1,2,4,2,3,1,3,3,4,2
"10485",6,22,1,2,3,2,5,1,2,2,3,2
"10525",8,30,1,1,3,5,4,1,3,4,3,3
"10528",5,18,1,1,5,1,4,1,1,4,4,1
"10472",12,46,7,1,5,5,5,1,2,1,4,1
"10485",5,18,7,2,2,3,4,4,4,3,4,3
"10513",6,22,7,1,1,1,2,4,5,5,5,3
"10473",7,26,7,NA,4,2,3,3,2,NA,4,2
"10477",9,34,7,2,2,2,4,1,4,4,3,2
"10523",4,14,7,1,1,1,4,1,5,4,5,1
"10528",4,14,7,1,4,2,3,3,3,3,3,1
"10506",10,38,7,1,2,1,2,1,3,5,5,3
"10515",2,6,7,NA,5,4,3,1,1,NA,3,2
"10535",3,10,7,2,4,2,2,2,2,3,4,3
"10511",10,38,7,1,2,4,4,2,5,4,3,2
"10479",12,46,7,NA,4,5,5,1,2,NA,3,2
"10503",9,34,7,1,4,2,4,1,2,3,3,1
"10497",7,26,7,1,2,5,3,1,4,3,3,3
"10512",4,14,7,1,2,1,5,1,4,5,4,2
"10498",3,10,7,1,5,2,2,2,1,3,4,4
"10494",10,38,7,NA,5,1,3,2,1,NA,5,5
"10510",11,42,7,1,3,3,4,1,3,2,4,1
"10530",3,10,7,2,3,4,4,1,2,4,3,1
"10518",3,10,7,1,4,4,4,1,3,4,4,2
"10486",12,46,7,NA,4,4,4,2,1,NA,2,2
"10542",3,10,7,1,1,3,5,1,3,4,4,1
"10466",11,42,7,NA,3,5,5,1,1,NA,3,3
"10540",3,10,7,NA,5,5,5,1,2,NA,5,1
"10492",13,50,7,NA,3,2,4,1,1,NA,4,1
"10517",5,18,7,2,3,2,3,2,3,4,5,2
"10472",11,42,6,1,3,1,5,1,4,1,5,1
"10498",2,6,6,NA,5,2,2,2,1,NA,4,4
"10486",11,42,6,1,5,4,2,2,1,4,4,3
"10528",3,10,6,1,3,1,2,1,3,3,4,1
"10473",6,22,6,1,3,3,4,1,3,4,4,1
"10503",8,30,6,NA,5,5,5,1,1,NA,1,1
"10510",10,38,6,NA,4,3,5,1,1,NA,5,1
"10515",1,2,6,1,5,4,3,1,3,3,4,3
"10479",11,42,6,NA,4,5,4,1,1,NA,3,1
"10530",2,6,6,1,2,1,4,1,5,3,5,2
"10494",9,34,6,NA,5,3,3,1,3,NA,3,4
"10517",4,14,6,2,3,3,4,2,4,4,5,1
"10477",8,30,6,2,3,2,4,2,3,3,3,2
"10488",11,42,6,2,4,5,5,2,1,3,3,1
"10524",9,34,6,2,3,4,4,1,4,3,4,2
"10466",10,38,6,3,5,5,3,3,3,1,1,3
"10523",3,10,6,1,4,1,4,1,3,3,5,1
"10540",2,6,6,NA,5,1,5,1,1,NA,5,1
"10516",5,18,6,NA,5,2,3,1,1,NA,3,3
"10497",6,22,6,2,2,4,2,2,4,4,3,3
"10512",3,10,6,1,1,1,5,1,4,5,5,1
"10542",2,6,6,1,3,1,4,1,5,3,4,2
"10484",9,34,6,NA,5,5,2,3,1,NA,1,1
"10513",5,18,6,1,2,4,5,1,4,5,5,2
"10485",4,14,6,1,3,3,5,1,5,4,4,2
"10463",9,34,5,1,2,1,5,2,3,4,5,1
"10472",10,38,5,1,1,1,4,1,5,1,5,1
"10523",2,6,5,1,4,1,5,1,4,4,5,1
"10481",8,30,5,2,3,4,4,1,4,4,3,2
"10466",9,34,5,NA,5,4,4,1,3,NA,3,1
"10497",5,18,5,1,2,3,2,1,4,3,3,5
"10490",15,58,5,NA,5,3,3,1,1,NA,3,1
"10479",10,38,5,1,2,2,5,1,4,3,4,2
"10510",9,34,5,2,1,1,4,1,4,4,4,3
"10494",8,30,5,1,5,3,4,1,1,5,5,1
"10486",10,38,5,1,5,3,3,2,3,2,3,4
"10452",15,58,5,NA,3,5,5,1,1,NA,5,1
"10513",4,14,5,3,2,4,3,3,4,3,4,3
"10518",1,2,5,NA,5,3,4,1,1,NA,5,1
"10485",3,10,5,NA,5,5,5,1,1,NA,3,1
"10473",5,18,5,2,4,4,2,2,3,3,3,2
"10512",2,6,5,1,3,2,3,1,2,5,4,2
"10492",11,42,5,1,4,1,3,1,3,4,2,1
"10398",2,6,5,NA,5,3,4,1,1,NA,4,2
"10476",9,34,5,NA,5,5,5,1,1,NA,4,2
"10530",1,2,5,NA,5,4,5,1,1,NA,5,1
"10477",7,26,5,NA,4,2,4,2,2,NA,3,3
"10517",3,10,5,1,5,4,2,5,2,3,3,2
"10524",8,30,5,2,3,5,5,1,4,4,4,2
"10476",8,30,4,1,3,3,3,1,3,4,4,3
"10490",14,54,4,1,3,3,3,1,3,3,4,2
"10510",8,30,4,2,3,2,4,1,2,3,3,1
"10503",6,22,4,2,3,2,4,1,4,3,3,1
"10506",7,26,4,2,5,3,4,1,3,4,4,2
"10492",10,38,4,1,4,2,4,1,5,4,4,3
"10481",7,26,4,NA,5,5,4,1,1,NA,2,1
"10469",4,14,4,1,5,4,2,3,2,3,4,3
"10452",14,54,4,1,3,2,5,1,3,3,5,1
"10525",4,14,4,1,2,2,3,1,5,4,5,2
"10486",9,34,4,3,4,2,2,3,3,4,4,4
"10472",9,34,4,1,5,1,3,1,2,1,5,1
"10497",4,14,4,2,5,2,3,2,2,4,4,4
"10516",3,10,4,3,2,1,3,1,4,3,5,4
"10524",7,26,4,NA,2,5,5,1,1,NA,2,1
"10517",2,6,4,2,5,3,3,3,3,3,3,2
"10473",4,14,4,2,4,3,2,3,3,3,3,2
"10494",7,26,4,NA,5,1,3,1,1,NA,3,3
"10453",10,38,4,2,1,2,3,1,4,3,5,2
"10513",3,10,4,2,4,3,3,3,5,4,2,3
"10528",1,2,4,1,4,3,2,1,2,3,3,1
"10479",9,34,4,1,5,4,2,1,1,3,4,3
"10466",8,30,4,NA,3,5,3,1,1,NA,2,3
"10469",3,10,3,1,4,1,3,1,2,3,5,1
"10452",13,50,3,1,5,1,5,1,1,3,5,2
"10483",6,22,3,3,1,1,3,2,5,4,3,3
"10490",13,50,3,1,2,3,3,1,4,3,3,2
"10472",8,30,3,1,2,1,5,1,3,1,5,1
"10493",14,54,3,2,4,3,2,1,3,4,3,4
"10460",5,18,3,1,3,1,3,1,3,3,4,2
"10479",8,30,3,2,4,3,3,1,1,3,3,2
"10473",3,10,3,3,4,4,3,3,2,3,3,2
"10466",7,26,3,1,3,2,3,1,1,2,3,3
"10503",5,18,3,1,3,3,3,1,3,2,3,2
"10463",7,26,3,1,2,1,5,1,4,4,5,1
"10497",3,10,3,2,2,3,2,1,5,4,3,4
"10488",8,30,3,NA,5,5,5,2,1,NA,2,1
"10516",2,6,3,1,3,2,4,1,4,3,4,1
"10510",7,26,3,1,1,1,5,1,3,3,4,3
"10494",6,22,3,1,5,2,3,1,1,5,5,3
"10459",15,58,3,3,3,2,3,1,3,4,3,2
"10477",5,18,3,NA,5,4,3,2,2,NA,2,3
"10524",6,22,3,2,4,2,5,1,3,3,4,2
"10492",9,34,3,NA,4,2,2,1,2,NA,4,3
"10525",3,10,3,2,2,1,2,1,4,3,2,4
"10513",2,6,3,1,3,2,4,2,5,4,5,2
"10486",8,30,3,1,5,4,5,1,1,3,5,2
"10469",2,6,2,1,2,1,3,1,4,4,4,1
"10460",4,14,2,1,2,1,4,1,4,5,5,2
"10503",4,14,2,1,4,2,4,1,3,3,4,2
"10506",5,18,2,1,2,5,4,1,3,3,3,2
"10510",6,22,2,1,2,1,3,1,3,2,2,1
"10453",8,30,2,3,2,4,4,1,3,4,3,4
"10525",2,6,2,4,1,1,4,1,5,2,4,2
"10516",1,2,2,1,3,1,3,1,4,3,5,2
"10479",7,26,2,2,3,5,5,2,4,4,4,1
"10477",4,14,2,NA,5,2,3,2,2,NA,3,3
"10472",7,26,2,1,2,1,2,1,3,1,5,1
"10494",5,18,2,1,5,2,3,1,1,5,3,2
"10473",2,6,2,2,4,3,4,2,2,4,4,2
"10481",5,18,2,NA,5,2,2,1,1,NA,2,3
"10492",8,30,2,1,2,1,4,1,4,4,4,3
"10497",2,6,2,1,5,4,2,1,2,5,3,1
"10449",15,58,2,1,1,2,4,2,4,4,5,1
"10455",11,42,2,1,4,3,4,2,3,4,4,1
"10490",12,46,2,2,2,3,3,1,3,3,3,2
"10524",5,18,2,NA,5,2,5,1,1,NA,2,1
"10466",6,22,2,NA,5,5,5,1,1,NA,3,1
"10486",7,26,2,1,5,3,3,1,2,3,3,1
"10452",12,46,2,3,5,2,5,3,2,3,3,3
"10513",1,2,2,1,5,5,4,2,3,4,5,2
"10459",13,50,1,3,3,3,1,1,3,4,3,3
"10477",3,10,1,1,3,3,4,1,2,3,2,1
"10451",12,46,1,1,3,1,5,1,1,5,5,1
"10449",14,54,1,1,1,2,4,1,5,4,4,1
"10445",15,58,1,1,5,3,3,1,2,5,5,3
"10471",11,42,1,2,3,3,3,2,3,2,3,3
"10490",11,42,1,NA,4,3,3,1,1,NA,3,2
"10470",12,46,1,NA,2,3,3,3,1,NA,1,3
"10506",4,14,1,2,2,4,5,1,5,3,4,1
"10476",5,18,1,1,2,2,4,1,5,4,5,3
"10494",4,14,1,1,5,1,3,1,1,3,3,1
"10466",5,18,1,NA,4,3,5,1,1,NA,3,1
"10452",11,42,1,2,3,2,5,1,3,2,5,1
"10463",5,18,1,1,1,1,5,2,4,5,5,2
"10486",6,22,1,1,3,1,4,1,3,2,5,1
"10472",6,22,1,NA,5,4,5,1,1,NA,5,1
"10460",3,10,1,1,2,2,5,2,4,4,4,1
"10483",4,14,1,1,3,3,3,2,2,3,3,2
"10503",3,10,1,1,5,4,3,1,3,2,3,1
"10510",5,18,1,1,4,2,3,1,1,4,4,1
"10450",15,58,1,1,4,3,4,1,2,4,5,2
"10479",6,22,1,2,5,2,3,1,2,3,3,2
"10488",6,22,1,NA,4,2,3,4,1,NA,4,2
"10524",4,14,1,2,3,2,4,3,3,3,3,2
"10471",10,38,7,2,2,3,3,2,3,3,3,3
"10465",10,38,7,2,3,1,5,1,4,4,4,1
"10451",11,42,7,1,1,1,5,1,5,5,5,1
"10479",5,18,7,2,4,3,3,3,2,3,3,2
"10452",10,38,7,1,3,1,2,1,5,4,5,5
"10506",3,10,7,1,1,1,2,2,4,3,5,3
"10524",3,10,7,2,4,2,2,2,3,3,3,4
"10463",4,14,7,1,1,1,4,1,3,4,5,1
"10510",4,14,7,1,3,3,5,1,3,4,5,1
"10496",5,18,7,1,5,4,3,1,2,4,4,3
"10483",3,10,7,1,2,3,4,1,1,2,3,2
"10494",3,10,7,1,4,3,2,1,3,3,3,3
"10447",10,38,7,1,5,1,3,1,1,3,5,3
"10490",10,38,7,NA,5,3,3,1,1,NA,3,1
"10484",3,10,7,NA,5,1,4,1,1,NA,1,1
"10488",5,18,7,NA,5,5,4,2,1,NA,3,4
"10486",5,18,7,1,3,2,4,1,2,2,3,1
"10466",4,14,7,NA,5,5,5,1,1,NA,1,3
"10477",2,6,7,2,2,2,2,1,4,3,3,2
"10474",5,18,7,NA,3,3,2,3,2,NA,3,3
"10448",13,50,7,NA,4,3,4,1,2,NA,4,2
"10475",11,42,7,1,4,1,5,1,3,4,5,3
"10449",13,50,7,NA,5,3,2,2,1,NA,5,2
"10472",5,18,7,NA,4,1,4,1,1,NA,3,1
"10465",9,34,6,NA,5,1,5,1,1,NA,4,1
"10471",9,34,6,NA,5,5,5,1,3,NA,3,2
"10463",3,10,6,1,1,1,4,1,5,5,5,1
"10496",4,14,6,1,3,1,4,1,2,3,4,3
"10451",10,38,6,1,1,1,5,1,5,5,5,5
"10459",11,42,6,1,4,3,3,3,2,4,3,2
"10510",3,10,6,1,2,3,4,1,5,5,5,1
"10460",1,2,6,1,3,4,5,1,3,4,4,1
"10452",9,34,6,NA,5,3,3,1,1,NA,5,2
"10503",1,2,6,1,2,3,5,2,4,4,3,3
"10524",2,6,6,4,4,5,3,4,1,2,3,4
"10494",2,6,6,1,1,1,5,1,3,4,5,1
"10449",12,46,6,1,3,1,5,1,3,4,5,1
"10486",4,14,6,1,3,4,4,1,3,3,3,1
"10483",2,6,6,NA,5,3,4,1,2,NA,3,2
"10492",5,18,6,2,2,3,2,2,4,5,4,3
"10506",2,6,6,1,1,1,1,1,5,4,5,4
"10438",15,58,6,1,1,1,4,1,5,5,5,1
"10453",5,18,6,2,4,3,4,1,2,3,3,2
"10481",2,6,6,1,3,4,4,1,2,3,4,1
"10475",10,38,6,1,5,1,4,1,2,4,4,1
"10466",3,10,6,1,5,2,3,1,2,3,3,4
"10490",9,34,6,NA,5,3,3,1,1,NA,3,1
"10472",4,14,6,1,1,4,5,1,2,1,4,1
"10459",10,38,5,3,2,5,3,3,2,4,1,3
"10475",9,34,5,1,2,1,4,1,5,4,3,1
"10472",3,10,5,1,2,1,4,1,4,3,5,1
"10490",8,30,5,NA,5,3,3,1,1,NA,3,1
"10453",4,14,5,NA,4,4,5,1,1,NA,4,1
"10438",14,54,5,1,3,2,2,1,4,5,5,1
"10481",1,2,5,2,1,4,5,1,5,2,3,1
"10470",9,34,5,NA,5,1,1,3,1,NA,2,3
"10450",12,46,5,3,5,1,2,1,2,2,3,3
"10451",9,34,5,1,1,1,4,1,5,5,5,1
"10488",3,10,5,2,4,5,2,3,3,2,5,2
"10463",2,6,5,1,2,1,4,1,4,4,5,1
"10449",11,42,5,2,1,1,3,1,4,3,4,1
"10474",3,10,5,2,1,2,3,3,5,4,4,2
"10454",11,42,5,2,2,1,3,1,3,5,4,2
"10437",15,58,5,1,5,2,3,4,1,4,4,3
"10448",11,42,5,1,4,2,2,1,3,4,4,3
"10486",3,10,5,2,4,1,3,1,2,3,3,1
"10510",2,6,5,2,1,1,4,1,4,4,5,2
"10465",8,30,5,2,3,2,5,1,3,4,4,1
"10493",9,34,5,1,5,1,2,4,1,4,4,4
"10479",3,10,5,1,1,2,5,1,5,4,4,2
"10452",8,30,5,1,3,3,5,1,4,3,5,1
"10432",15,58,5,NA,4,4,4,1,1,NA,5,1
"10492",4,14,5,1,3,4,4,1,5,4,3,1
"10466",2,6,5,2,5,5,5,1,1,3,3,1
"10471",7,26,4,2,3,3,3,2,3,2,3,2
"10432",14,54,4,NA,5,5,3,1,1,NA,5,1
"10490",7,26,4,1,2,2,3,1,3,3,4,1
"10496",2,6,4,1,5,3,4,1,2,2,5,2
"10449",10,38,4,1,1,3,4,2,3,3,4,2
"10474",2,6,4,NA,4,3,3,2,1,NA,4,3
"10455",6,22,4,1,3,3,4,1,4,4,5,3
"10453",3,10,4,2,2,2,2,1,3,3,4,3
"10480",8,30,4,NA,5,1,2,2,3,NA,3,4
"10472",2,6,4,1,2,1,5,1,3,1,5,2
"10448",10,38,4,1,5,2,3,1,1,4,4,2
"10465",7,26,4,2,1,2,4,1,4,5,4,1
"10459",9,34,4,3,1,2,3,1,4,4,3,3
"10452",7,26,4,2,3,1,5,1,4,3,5,2
"10397",14,54,4,2,3,2,3,1,3,4,5,2
"10486",2,6,4,1,2,3,4,1,2,3,4,1
"10492",3,10,4,NA,5,2,2,1,1,NA,3,3
"10438",13,50,4,1,4,3,4,1,3,4,4,1
"10479",2,6,4,2,2,4,5,1,5,4,3,1
"10445",11,42,4,1,5,2,3,3,3,4,5,3
"10493",8,30,4,1,5,5,5,1,1,1,5,1
"10475",7,26,3,2,3,1,2,1,3,4,5,3
"10452",6,22,3,1,5,1,4,1,3,3,5,1
"10496",1,2,3,1,5,4,5,1,2,3,2,1
"10490",6,22,3,2,2,3,3,1,4,4,4,1
"10422",14,54,3,2,3,2,4,1,3,3,4,2
"10472",1,2,3,1,3,2,4,1,3,1,4,1
"10438",12,46,3,1,1,1,5,1,4,5,5,1
"10440",14,54,3,1,2,1,2,1,3,3,5,1
"10449",9,34,3,1,1,2,3,1,4,4,5,2
"10465",6,22,3,NA,4,5,5,1,1,NA,3,1
"10448",9,34,3,1,5,NA,2,3,1,3,4,2
"10447",6,22,3,1,3,2,3,1,4,5,5,2
"10450",10,38,3,1,5,1,4,1,1,2,5,1
"10455",5,18,3,1,3,3,3,2,3,3,4,3
"10437",13,50,3,2,5,3,2,3,2,4,3,5
"10445",10,38,3,NA,5,4,3,2,1,NA,5,3
"10493",7,26,3,3,5,1,4,1,1,2,5,1
"10457",6,22,3,1,4,3,4,1,4,4,4,2
"10480",7,26,3,1,4,2,2,1,2,2,3,4
"10453",2,6,3,NA,5,4,5,2,1,NA,3,1
"10459",8,30,3,1,1,1,2,2,3,4,5,3
"10432",13,50,3,1,3,2,4,1,4,3,5,3
"10492",2,6,3,1,3,3,3,1,4,3,4,2
"10486",1,2,3,1,5,3,3,2,2,NA,4,1
"10422",13,50,2,2,5,2,3,1,2,4,4,2
"10462",6,22,2,3,1,2,4,1,3,3,2,2
"10490",5,18,2,1,4,2,3,1,2,3,3,2
"10451",6,22,2,1,5,3,4,1,2,5,3,1
"10459",7,26,2,3,3,2,4,1,3,5,4,2
"10397",12,46,2,2,3,1,3,1,2,4,5,2
"10449",8,30,2,1,4,1,2,1,3,5,5,3
"10448",8,30,2,1,5,2,2,1,1,4,5,2
"10432",12,46,2,NA,4,2,4,1,1,NA,5,2
"10440",13,50,2,1,4,1,5,1,2,3,3,1
"10437",12,46,2,1,5,2,3,2,3,4,4,4
"10453",1,2,2,2,3,1,3,2,3,4,4,1
"10438",11,42,2,1,3,3,4,2,3,4,5,3
"10457",5,18,2,1,2,2,2,2,5,4,4,4
"10447",5,18,2,1,3,2,4,1,3,5,5,3
"10480",6,22,2,2,5,1,2,4,2,2,4,4
"10455",4,14,2,1,3,2,3,3,3,4,4,4
"10475",6,22,2,3,3,1,2,2,5,3,2,4
"10445",9,34,2,1,5,2,3,1,2,5,5,3
"10452",5,18,2,3,4,1,3,1,3,3,4,2
"10451",5,18,1,1,5,1,5,1,5,5,5,1
"10442",12,46,1,1,5,1,3,1,2,3,3,1
"10422",12,46,1,2,3,3,4,1,3,3,3,2
"10444",11,42,1,NA,4,4,2,4,2,NA,2,4
"10449",7,26,1,1,1,2,3,1,4,4,4,2
"10437",11,42,1,1,3,1,2,3,2,3,3,5
"10490",4,14,1,NA,4,3,3,1,1,NA,3,1
"10445",8,30,1,NA,5,3,2,4,1,NA,3,4
"10438",10,38,1,1,4,1,5,1,2,4,5,1
"10450",8,30,1,1,5,2,3,1,1,3,5,4
"10455",3,10,1,1,2,2,3,2,4,4,4,3
"10441",12,46,1,1,5,1,1,3,1,4,4,5
"10459",6,22,1,2,4,2,3,2,2,4,3,3
"10480",5,18,1,NA,5,1,5,1,1,NA,5,1
"10448",7,26,1,NA,5,2,3,1,1,NA,4,2
"10493",5,18,1,1,5,1,1,2,1,1,5,3
"10452",4,14,1,2,4,1,4,1,3,3,4,2
"10454",7,26,1,1,4,2,5,1,5,5,3,3
"10432",11,42,1,NA,5,3,5,1,1,NA,5,3
"10447",4,14,1,1,3,3,1,4,1,5,5,5
"10471",4,14,1,2,4,2,3,2,3,2,3,3
"10397",11,42,1,3,5,3,4,2,1,2,3,2
"10422",11,42,7,2,5,4,3,1,2,2,3,2
"10471",3,10,7,2,4,3,3,4,2,2,3,4
"10454",6,22,7,1,3,2,5,1,4,4,5,3
"10457",3,10,7,NA,5,2,1,1,2,NA,4,4
"10437",10,38,7,2,2,5,3,3,4,4,3,3
"10493",4,14,7,1,3,5,5,1,1,4,5,1
"10442",11,42,7,1,5,3,3,1,1,3,3,3
"10451",4,14,7,1,1,1,5,1,5,5,5,1
"10438",9,34,7,1,2,4,5,3,2,4,3,3
"10465",3,10,7,NA,5,1,5,1,1,NA,3,1
"10432",10,38,7,1,1,1,4,1,4,4,4,1
"10452",3,10,7,2,1,3,5,1,2,3,5,2
"10462",4,14,7,1,1,4,5,1,5,3,4,1
"10447",3,10,7,1,1,1,3,1,5,5,5,3
"10440",11,42,7,1,2,3,3,1,4,4,4,1
"10459",5,18,7,1,5,5,3,2,1,4,2,3
"10449",6,22,7,NA,3,1,3,1,4,NA,4,1
"10397",10,38,7,NA,5,2,4,2,1,NA,5,2
"10490",3,10,7,NA,4,2,3,1,1,NA,3,1
"10442",10,38,6,1,2,1,3,1,4,3,3,2
"10440",10,38,6,1,1,1,4,1,5,4,5,1
"10475",3,10,6,1,5,1,5,2,2,3,5,3
"10471",2,6,6,2,4,3,3,3,3,2,3,3
"10454",5,18,6,1,3,3,4,1,4,4,4,2
"10448",5,18,6,1,1,1,3,1,4,5,4,2
"10490",2,6,6,NA,4,2,4,2,2,NA,3,2
"10470",3,10,6,2,3,1,3,4,4,4,5,1
"10465",2,6,6,1,5,2,5,1,1,3,4,1
"10480",3,10,6,NA,4,1,3,2,1,NA,5,1
"10432",9,34,6,1,1,1,3,1,4,4,5,3
"10459",4,14,6,2,4,3,3,3,1,3,3,3
"10493",3,10,6,1,5,4,4,1,1,4,5,2
"10438",8,30,6,1,3,2,5,1,4,4,4,1
"10445",6,22,6,1,5,3,3,2,3,5,5,4
"10447",2,6,6,1,4,3,2,1,4,5,5,2
"10450",6,22,6,NA,4,1,3,1,1,NA,5,3
"10397",9,34,6,1,2,2,4,2,4,4,5,1
"10449",5,18,6,NA,4,4,4,2,2,NA,5,3
"10452",2,6,6,3,2,3,5,1,5,4,5,2
"10449",4,14,5,1,1,3,5,1,4,4,5,1
"10438",7,26,5,1,2,1,5,1,4,4,4,1
"10448",4,14,5,1,2,1,1,NA,2,4,4,5
"10441",9,34,5,1,5,3,2,4,1,3,4,5
"10454",4,14,5,1,1,3,5,1,5,5,5,1
"10462",2,6,5,1,1,1,2,1,4,5,4,2
